YEAR,ECOSUBCD,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,313Bd,66,Rocky Mountain juniper,Juniperus scopulorum,0.00102865599669435,1.0006863417395,Expand,9.8529289822516e-05,0.104209627048251,0.102795047137971,0.110047775971744,-0.00368395003420294,0.00486906183952765,2.89542029409878e-07,0.323889293580498,0.000304427579584157,0.000300718665980023,0.000416626805584009,0.00025889529090648,40,117
2018,313Bd,69,oneseed juniper,Juniperus monosperma,0.00179192549082518,1.39259870980864,Expand,0.000356622201486464,0.284593610709721,0.128674935442918,0.132553902371157,0.0044341128152654,0.0246111527219304,8.36203929117209e-06,5.32532039463562,0.000788844513275831,0.000872116503657126,0.00168083201115961,0.00101491028448709,36,255
2018,313Bd,106,common or two-needle pinyon,Pinus edulis,0.000129734897520219,0.10757746198475,Expand,7.2253891011146e-05,0.0593923270299817,0.120596726420828,0.121188985942619,0.00804292901550915,0.00442669729134418,2.84816949306451e-07,0.192443848858664,0.000531724466950267,0.000583888847264451,0.000102143238749737,6.29428950745668e-05,68,212
2018,313Bd,122,ponderosa pine,Pinus ponderosa,0.000848152126848435,0.921916756838572,Expand,4.76688543631624e-05,0.0758330221957618,0.0919987754379159,0.0981648933756378,0.00868469743862292,0.00940771601908068,5.53490044463375e-08,0.140073865409673,0.000876688000578494,0.00089901726506232,3.08539357300017e-05,1.40991979180997e-05,21,96
2018,313Bd,202,Douglas-fir,Pseudotsuga menziesii,0.00280195094951562,2.182759167328,Expand,0.000426444351597714,0.0483401595390034,0.128367388920217,0.144938812179134,0.0285552338852793,0.0124417206457618,2.15686044521586e-06,0.0277149099567496,0.00359434421531532,0.0047446670530938,1.4648543919613e-05,5.60654347898195e-06,4,48
2018,313Bd,746,quaking aspen,Populus tremuloides,0.00269399884883309,7.36594615006268,Expand,0,7.42942206786646e-08,0.0365736973085279,0.0500436915526933,2.49134958423382,0.0239224582388121,0,1.6557027234068e-14,-1.13393995099122e-18,-1.13393995099122e-18,-4.10382636127149e-15,1.62127027851649e-19,1,14
2018,313Bd,814,Gambel oak,Quercus gambelii,-0.000751545678731027,-0.461830369467711,Decline,0.000403610206763678,0.259974718718274,0.162731974425422,0.154668634615839,-0.0163314537468926,0.0118734914730673,3.45900798606801e-06,1.4351242990097,0.00295395840958839,0.003289623597139,5.17691745289848e-05,0.000294571379888571,23,84
2018,313Be,15,white fir,Abies concolor,0.00358351847810904,1.64484079151432,Expand,0.00074243568111843,0.408567607057976,0.217864154184179,0.254156387386629,0.0450131494929147,0.00758526417318245,1.6152878922114e-05,4.8917035331001,0.00530518063719463,0.00351499988610617,0.00111855208227718,0.000407101377661788,16,115
2018,313Be,18,corkbark fir,Abies lasiocarpa,0.000881134206101505,Inf,Expand,0,,0,0.00863511521979475,Inf,Inf,0,,0,-3.09352249635757e-20,,,1,6
2018,313Be,19,subalpine fir,Abies lasiocarpa,-0.00558684098964028,-6.00628267790116,Decline,0.000935643663969432,0.919104910472738,0.0930166175860467,0.0381331635422419,-0.0694022811780256,-0.0592229106725332,6.27853124313835e-06,6.05853010984192,0.000682981553341629,0.000708493187801908,0.000705598423441449,0.000534536577149806,3,30
